"filename", "language", "C++", "Shell Script", "Objective-C++", "PowerShell", "Markdown", "CMake", "JSON", "XML", "JavaScript", "comment", "blank", "total"
"/Users/maxbraudel/Personnel/Dev/Apps/mouffette copy 10/README.md", "Markdown", 0, 0, 0, 0, 133, 0, 0, 0, 0, 0, 40, 173
"/Users/maxbraudel/Personnel/Dev/Apps/mouffette copy 10/build instructions.md", "Markdown", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 4, 9
"/Users/maxbraudel/Personnel/Dev/Apps/mouffette copy 10/client/CMakeLists.txt", "CMake", 0, 0, 0, 0, 0, 111, 0, 0, 0, 0, 17, 128
"/Users/maxbraudel/Personnel/Dev/Apps/mouffette copy 10/client/PALETTE_SYSTEM.md", "Markdown", 0, 0, 0, 0, 64, 0, 0, 0, 0, 0, 23, 87
"/Users/maxbraudel/Personnel/Dev/Apps/mouffette copy 10/client/README.md", "Markdown", 0, 0, 0, 0, 117, 0, 0, 0, 0, 0, 33, 150
"/Users/maxbraudel/Personnel/Dev/Apps/mouffette copy 10/client/build.ps1", "PowerShell", 0, 0, 0, 28, 0, 0, 0, 0, 0, 6, 9, 43
"/Users/maxbraudel/Personnel/Dev/Apps/mouffette copy 10/client/build.sh", "Shell Script", 0, 23, 0, 0, 0, 0, 0, 0, 0, 6, 7, 36
"/Users/maxbraudel/Personnel/Dev/Apps/mouffette copy 10/client/resources/icons/arrow-down.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"/Users/maxbraudel/Personnel/Dev/Apps/mouffette copy 10/client/resources/icons/arrow-up.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"/Users/maxbraudel/Personnel/Dev/Apps/mouffette copy 10/client/resources/icons/delete.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"/Users/maxbraudel/Personnel/Dev/Apps/mouffette copy 10/client/resources/icons/loop.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"/Users/maxbraudel/Personnel/Dev/Apps/mouffette copy 10/client/resources/icons/pause.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"/Users/maxbraudel/Personnel/Dev/Apps/mouffette copy 10/client/resources/icons/play.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"/Users/maxbraudel/Personnel/Dev/Apps/mouffette copy 10/client/resources/icons/settings.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"/Users/maxbraudel/Personnel/Dev/Apps/mouffette copy 10/client/resources/icons/stop.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"/Users/maxbraudel/Personnel/Dev/Apps/mouffette copy 10/client/resources/icons/traffic-lights/close-hover.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 1, 7
"/Users/maxbraudel/Personnel/Dev/Apps/mouffette copy 10/client/resources/icons/traffic-lights/close-normal.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 1, 5
"/Users/maxbraudel/Personnel/Dev/Apps/mouffette copy 10/client/resources/icons/traffic-lights/max-hover.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 1, 7
"/Users/maxbraudel/Personnel/Dev/Apps/mouffette copy 10/client/resources/icons/traffic-lights/max-normal.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 1, 5
"/Users/maxbraudel/Personnel/Dev/Apps/mouffette copy 10/client/resources/icons/traffic-lights/min-hover.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 1, 6
"/Users/maxbraudel/Personnel/Dev/Apps/mouffette copy 10/client/resources/icons/traffic-lights/min-normal.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 1, 5
"/Users/maxbraudel/Personnel/Dev/Apps/mouffette copy 10/client/resources/icons/traffic-lights/no-focus.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 1, 5
"/Users/maxbraudel/Personnel/Dev/Apps/mouffette copy 10/client/resources/icons/visibility-off.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"/Users/maxbraudel/Personnel/Dev/Apps/mouffette copy 10/client/resources/icons/visibility-on.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"/Users/maxbraudel/Personnel/Dev/Apps/mouffette copy 10/client/resources/icons/volume-off.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"/Users/maxbraudel/Personnel/Dev/Apps/mouffette copy 10/client/resources/icons/volume-on.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"/Users/maxbraudel/Personnel/Dev/Apps/mouffette copy 10/client/run.ps1", "PowerShell", 0, 0, 0, 15, 0, 0, 0, 0, 0, 2, 5, 22
"/Users/maxbraudel/Personnel/Dev/Apps/mouffette copy 10/client/run.sh", "Shell Script", 0, 13, 0, 0, 0, 0, 0, 0, 0, 3, 5, 21
"/Users/maxbraudel/Personnel/Dev/Apps/mouffette copy 10/client/src/AppColors.cpp", "C++", 83, 0, 0, 0, 0, 0, 0, 0, 0, 41, 33, 157
"/Users/maxbraudel/Personnel/Dev/Apps/mouffette copy 10/client/src/AppColors.h", "C++", 79, 0, 0, 0, 0, 0, 0, 0, 0, 65, 38, 182
"/Users/maxbraudel/Personnel/Dev/Apps/mouffette copy 10/client/src/ClientInfo.cpp", "C++", 92, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15, 110
"/Users/maxbraudel/Personnel/Dev/Apps/mouffette copy 10/client/src/ClientInfo.h", "C++", 56, 0, 0, 0, 0, 0, 0, 0, 0, 4, 13, 73
"/Users/maxbraudel/Personnel/Dev/Apps/mouffette copy 10/client/src/FileManager.cpp", "C++", 206, 0, 0, 0, 0, 0, 0, 0, 0, 20, 60, 286
"/Users/maxbraudel/Personnel/Dev/Apps/mouffette copy 10/client/src/FileManager.h", "C++", 49, 0, 0, 0, 0, 0, 0, 0, 0, 17, 21, 87
"/Users/maxbraudel/Personnel/Dev/Apps/mouffette copy 10/client/src/FileWatcher.cpp", "C++", 173, 0, 0, 0, 0, 0, 0, 0, 0, 22, 41, 236
"/Users/maxbraudel/Personnel/Dev/Apps/mouffette copy 10/client/src/FileWatcher.h", "C++", 35, 0, 0, 0, 0, 0, 0, 0, 0, 12, 17, 64
"/Users/maxbraudel/Personnel/Dev/Apps/mouffette copy 10/client/src/MacVideoThumbnailer.h", "C++", 10, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 14
"/Users/maxbraudel/Personnel/Dev/Apps/mouffette copy 10/client/src/MacVideoThumbnailer.mm", "Objective-C++", 0, 0, 40, 0, 0, 0, 0, 0, 0, 1, 2, 43
"/Users/maxbraudel/Personnel/Dev/Apps/mouffette copy 10/client/src/MacWindowManager.h", "C++", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11
"/Users/maxbraudel/Personnel/Dev/Apps/mouffette copy 10/client/src/MacWindowManager.mm", "Objective-C++", 0, 0, 21, 0, 0, 0, 0, 0, 0, 3, 8, 32
"/Users/maxbraudel/Personnel/Dev/Apps/mouffette copy 10/client/src/MainWindow.cpp", "C++", 2481, 0, 0, 0, 0, 0, 0, 0, 0, 418, 300, 3199
"/Users/maxbraudel/Personnel/Dev/Apps/mouffette copy 10/client/src/MainWindow.h", "C++", 223, 0, 0, 0, 0, 0, 0, 0, 0, 47, 32, 302
"/Users/maxbraudel/Personnel/Dev/Apps/mouffette copy 10/client/src/MediaItems.cpp", "C++", 1084, 0, 0, 0, 0, 0, 0, 0, 0, 119, 108, 1311
"/Users/maxbraudel/Personnel/Dev/Apps/mouffette copy 10/client/src/MediaItems.h", "C++", 257, 0, 0, 0, 0, 0, 0, 0, 0, 41, 40, 338
"/Users/maxbraudel/Personnel/Dev/Apps/mouffette copy 10/client/src/MediaPreloader.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/maxbraudel/Personnel/Dev/Apps/mouffette copy 10/client/src/MediaPreloader.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/maxbraudel/Personnel/Dev/Apps/mouffette copy 10/client/src/MediaSettingsPanel.cpp", "C++", 662, 0, 0, 0, 0, 0, 0, 0, 0, 107, 76, 845
"/Users/maxbraudel/Personnel/Dev/Apps/mouffette copy 10/client/src/MediaSettingsPanel.h", "C++", 78, 0, 0, 0, 0, 0, 0, 0, 0, 18, 21, 117
"/Users/maxbraudel/Personnel/Dev/Apps/mouffette copy 10/client/src/NativeMenu.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/maxbraudel/Personnel/Dev/Apps/mouffette copy 10/client/src/NativeMenu.mm", "Objective-C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/maxbraudel/Personnel/Dev/Apps/mouffette copy 10/client/src/OverlayPanels.cpp", "C++", 706, 0, 0, 0, 0, 0, 0, 0, 0, 94, 85, 885
"/Users/maxbraudel/Personnel/Dev/Apps/mouffette copy 10/client/src/OverlayPanels.h", "C++", 295, 0, 0, 0, 0, 0, 0, 0, 0, 38, 27, 360
"/Users/maxbraudel/Personnel/Dev/Apps/mouffette copy 10/client/src/QtWaitingSpinner.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/maxbraudel/Personnel/Dev/Apps/mouffette copy 10/client/src/QtWaitingSpinner.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/maxbraudel/Personnel/Dev/Apps/mouffette copy 10/client/src/RemoteSceneController.cpp", "C++", 293, 0, 0, 0, 0, 0, 0, 0, 0, 20, 14, 327
"/Users/maxbraudel/Personnel/Dev/Apps/mouffette copy 10/client/src/RemoteSceneController.h", "C++", 58, 0, 0, 0, 0, 0, 0, 0, 0, 4, 9, 71
"/Users/maxbraudel/Personnel/Dev/Apps/mouffette copy 10/client/src/ResizableMediaItems.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/maxbraudel/Personnel/Dev/Apps/mouffette copy 10/client/src/ResponsiveLayoutManager.cpp", "C++", 175, 0, 0, 0, 0, 0, 0, 0, 0, 19, 44, 238
"/Users/maxbraudel/Personnel/Dev/Apps/mouffette copy 10/client/src/ResponsiveLayoutManager.h", "C++", 48, 0, 0, 0, 0, 0, 0, 0, 0, 8, 14, 70
"/Users/maxbraudel/Personnel/Dev/Apps/mouffette copy 10/client/src/RoundedRectItem.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/maxbraudel/Personnel/Dev/Apps/mouffette copy 10/client/src/RoundedRectItem.h", "C++", 45, 0, 0, 0, 0, 0, 0, 0, 0, 4, 12, 61
"/Users/maxbraudel/Personnel/Dev/Apps/mouffette copy 10/client/src/ScreenCanvas.cpp", "C++", 3081, 0, 0, 0, 0, 0, 0, 0, 0, 389, 273, 3743
"/Users/maxbraudel/Personnel/Dev/Apps/mouffette copy 10/client/src/ScreenCanvas.h", "C++", 262, 0, 0, 0, 0, 0, 0, 0, 0, 39, 31, 332
"/Users/maxbraudel/Personnel/Dev/Apps/mouffette copy 10/client/src/ScreenNavigationManager.cpp", "C++", 111, 0, 0, 0, 0, 0, 0, 0, 0, 9, 23, 143
"/Users/maxbraudel/Personnel/Dev/Apps/mouffette copy 10/client/src/ScreenNavigationManager.h", "C++", 53, 0, 0, 0, 0, 0, 0, 0, 0, 5, 13, 71
"/Users/maxbraudel/Personnel/Dev/Apps/mouffette copy 10/client/src/SelectionIndicators.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/maxbraudel/Personnel/Dev/Apps/mouffette copy 10/client/src/SelectionIndicators.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/maxbraudel/Personnel/Dev/Apps/mouffette copy 10/client/src/SpinnerWidget.cpp", "C++", 60, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10, 71
"/Users/maxbraudel/Personnel/Dev/Apps/mouffette copy 10/client/src/SpinnerWidget.h", "C++", 27, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10, 38
"/Users/maxbraudel/Personnel/Dev/Apps/mouffette copy 10/client/src/Theme.cpp", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 9
"/Users/maxbraudel/Personnel/Dev/Apps/mouffette copy 10/client/src/Theme.h", "C++", 6, 0, 0, 0, 0, 0, 0, 0, 0, 4, 3, 13
"/Users/maxbraudel/Personnel/Dev/Apps/mouffette copy 10/client/src/UIManager.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/maxbraudel/Personnel/Dev/Apps/mouffette copy 10/client/src/UIManager.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/maxbraudel/Personnel/Dev/Apps/mouffette copy 10/client/src/UploadManager.cpp", "C++", 384, 0, 0, 0, 0, 0, 0, 0, 0, 49, 39, 472
"/Users/maxbraudel/Personnel/Dev/Apps/mouffette copy 10/client/src/UploadManager.h", "C++", 87, 0, 0, 0, 0, 0, 0, 0, 0, 24, 17, 128
"/Users/maxbraudel/Personnel/Dev/Apps/mouffette copy 10/client/src/VolumeMonitor.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/maxbraudel/Personnel/Dev/Apps/mouffette copy 10/client/src/VolumeMonitor.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/maxbraudel/Personnel/Dev/Apps/mouffette copy 10/client/src/WatchManager.cpp", "C++", 49, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 58
"/Users/maxbraudel/Personnel/Dev/Apps/mouffette copy 10/client/src/WatchManager.h", "C++", 33, 0, 0, 0, 0, 0, 0, 0, 0, 6, 13, 52
"/Users/maxbraudel/Personnel/Dev/Apps/mouffette copy 10/client/src/WebSocketClient.cpp", "C++", 482, 0, 0, 0, 0, 0, 0, 0, 0, 20, 52, 554
"/Users/maxbraudel/Personnel/Dev/Apps/mouffette copy 10/client/src/WebSocketClient.h", "C++", 90, 0, 0, 0, 0, 0, 0, 0, 0, 15, 16, 121
"/Users/maxbraudel/Personnel/Dev/Apps/mouffette copy 10/client/src/main.cpp", "C++", 14, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6, 23
"/Users/maxbraudel/Personnel/Dev/Apps/mouffette copy 10/server/README.md", "Markdown", 0, 0, 0, 0, 82, 0, 0, 0, 0, 0, 21, 103
"/Users/maxbraudel/Personnel/Dev/Apps/mouffette copy 10/server/package-lock.json", "JSON", 0, 0, 0, 0, 0, 0, 427, 0, 0, 0, 1, 428
"/Users/maxbraudel/Personnel/Dev/Apps/mouffette copy 10/server/package.json", "JSON", 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 1, 21
"/Users/maxbraudel/Personnel/Dev/Apps/mouffette copy 10/server/server.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 444, 33, 43, 520
"/Users/maxbraudel/Personnel/Dev/Apps/mouffette copy 10/start.sh", "Shell Script", 0, 32, 0, 0, 0, 0, 0, 0, 0, 8, 10, 50
"Total", "-", 11940, 68, 61, 43, 401, 111, 447, 45, 444, 1753, 1791, 17104